trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.7, 'e': 0.07353454376305711}",20,3,26.508225209722823,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.0713612695563861}",25,11,22.021788562275184,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.069252225309346}",20,14,-7.504226733690411,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.0672055127397498}",35,21,24.823489929498603,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.7, 'e': 0.06521928966812754}",20,13,15.534825387081156,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.06329176835964075}",20,6,25.126683786517425,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.061421213915000133}",20,8,9.41710587247293,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.059605942708939375}",30,22,12.417295990126565,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.05784432087483847}",25,17,15.356342956936171,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.05613476283413373}",20,8,20.36901345576346,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.054475729869189894}",25,17,16.569039411684912,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 0.052865728738350375}",20,12,15.85716800977956,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.05130331033191914}",25,0,36.831762021499,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.7, 'e': 0.04978706836786395}",30,10,34.57925185630429,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,13,22.47099034537674,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,7,18.4743937736995,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,14,18.654979219004687,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,17,16.38325917082928,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,15,39.58564334055347,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,13,28.55593232016391,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,18,18.89297849463665,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,10,32.48106552517136,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,13.401845552256658,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,14,34.1118077728879,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
